Code,Title,Brand,Model,Price,Category
7169698,"""Lava E Seca Midea Branca 8kg 220v""","""Midea""","""""",None,ed
6015757,"""Lava e Seca 11Kg LG Prime Touch 11Kg 127V Aco Escovado 14 Programas de Lavagem""","""LG""","""""",None,ed
6204926,"""Lava e Seca 11Kg LG Prime Touch 11Kg 220V Aco Escovado 14 Programas de Lavagem""","""LG""","""""",None,ed
6481328,"""Lavadora e Secadora de Roupas Samsung 10.2 Kg WD10 AddWash Inox 220V""","""Samsung""","""""",None,ed
7791023,"""Lava e Seca 10,2 kg Touch Led - WD1412RT - LG""","""LG Linha Branca""","""Lg linha branca""",None,ed
6076780,"""Lavadora e Secadora 10,2 Kg WD10J6410AX Samsung""","""SAMSUNG L.BRANCA""","""Samsung l.branca""",None,ed
6479658,"""Lavadora de Roupas Tanquinho 6Kg Automático Colormaq LCM6""","""COLORMAQ""","""""",None,ed
5859835,"""Lavadora de Roupas 16kg Consul - CWL16AB""","""CONSUL""","""""",None,ed
7923812,"""Lava e Seca 9Kg Samsung Branca - Água Quente com 12 Programas de Lavagem 127V  WD90J6410AW""","""Samsung""","""""",None,ed
5854982,"""Lava e Seca LG Twin Wash 17KG 14 Programas de Lavagem Conexão Wi-fi WD17VTS6""","""LG""","""""",8599.9,ed
6905810,"""Lava e Seca 12Kg Acqua LSX12 Prata Midea""","""Midea""","""""",None,ed
6356867,"""Lavadora de Roupas Panasonic 16Kg NA-F160B5WA Econavi e Espuma Ativa Branca 220V""","""Panasonic""","""""",None,ed
6606608,"""Lavadora de Roupas Electrolux 8,5kg LAC09 Branca""","""Electrolux""","""""",None,ed
6460969,"""Lavadora de Roupas Samsung  Lava e Seca Branca 10,2KG 127V""","""Samsung""","""""",None,ed
5731179,"""Lavadora de Roupas Samsung Lava e Seca 10,2kg Inox 220v WD4000""","""Samsung""","""""",None,ed
6414990,"""Lavadora de Roupas Midea Lava  Seca Acqua 12kg Prata 220v LSX122""","""Midea""","""""",None,ed
6479105,"""Lavadora e Secadora de Roupas Samsung 10,2 Kg WD10 Ecobuble Branca""","""Samsung""","""""",None,ed
6020672,"""Lavadora e Secadora de Roupas Panasonic 12 Kg NA-S128F2WBZ Inverter Branca""","""Panasonic""","""""",None,ed
5332666,"""Lavadora 10kg Desligamento Automático Lavamax Eco Suggar 220V Branco""","""Suggar""","""""",None,ed
6444410,"""Lavadora de Roupas Samsung 10,1 Kg WF106U4SAWQ/AZ EcoBubble Branca""","""Samsung""","""""",None,ed
5842001,"""Lavadora de Roupas Electrolux LTD13 13kg Classe A""","""ELECTROLUX""","""""",None,ed
5470192,"""Lavadora de Roupas Lava e Seca Inox Look 10,2KG 220V - Samsung""","""Samsung""","""""",None,ed
6318604,"""Lavadora de Roupas Electrolux Automática 17kg Branca 220v LAI17""","""Electrolux""","""""",None,ed
6969296,"""Lava e Seca 10,2Kg LG Direct Drive WD1412RTA7B Aço Escovado - Água Quente com 14 Programas de Lavagem 220V""","""LG""","""""",None,ed
6605104,"""Lava e Seca LG Prime Touch LED 10,2Kg Aço Escovado 220V - WD1412RTA7B""","""LG""","""""",None,ed
6415911,"""Lavadora de Roupas Semi-Automática Coloramq 15Kg  LCM15 Azul""","""Colormaq""","""Colormaq""",None,ed
6672267,"""Lavadora de Roupas Brastemp 15 kg Double Wash Grafite110V BWD15A9ANA""","""Brastemp""","""""",None,ed
6061783,"""Lava e Seca 8 Kg Midea Acqua Branca""","""Midea""","""""",None,ed
6450480,"""Lavadora e Secadora de Roupas Samsung 10,2 kg WD10J6410AW EcoBubble Branca""","""Samsung""","""""",None,ed
