Code,Title,Brand,Model,Price,Category
7565537,"""Refrigerador Elux Df52X 127V Electrolux""","""Electrolux""","""""",None,ed
7541506,"""Refrigerador Elux Db52X 127V Electrolux""","""Electrolux""","""""",None,ed
6390321,"""Refrigerador Consul 275 Litros 2 Portas Frost Free com Bandeja Deslizante CRM35""","""CONSUL""","""""",None,ed
5865141,"""Refrigerador French Door 614L Inox Look""","""Samsung""","""Samsung""",None,ed
6790966,"""Refrigerador Samsung RT6000K Twin Cooling Duplex 453 litros Frost Free Inox 110V RT46K6361SL/AZ""","""Samsung""","""""",None,ed
6360023,"""Refrigerador Electrolux 3 Portas Frost Free 579 Litros DM84X""","""ELECTROLUX""","""""",None,ed
5940767,"""Geladeira/Refrigerador Samsung Frost Free 2 Portas RT46K6341WW Twin Cooling Plus 453 Litros Branco""","""Samsung""","""""",None,ed
6917096,"""Refrigerador Consul 386L Frost Free Classe A - CRM43""","""CONSUL""","""""",None,ed
6274669,"""Refrigerador Brastemp Side By Side Inverse 540 Litros Iluminação em LED BRO80""","""BRASTEMP""","""""",None,ed
6196433,"""Refrigerador Samsung French Door 3 Portas 536 Litros Inox 110V RF23HCEDBSR/AZ""","""Samsung""","""""",10499,ed
8529164,"""Frigobar Cuisinart 178 Litros Inox/Preto 220V 4092810001""","""Cuisinart""","""""",None,ed
5390578,"""Refrigerador Brastemp Duplex Frost Free Branco 400L BRM54HB - 127V""","""Brastemp""","""""",None,ed
6999538,"""Geladeira Refrigerador Electrolux 370 Litros Frost Free DFX42""","""ELECTROLUX""","""""",None,ed
6921734,"""Geladeira Refrigerador Electrolux 433 Litros Frost Free 2 Portas TF51""","""ELECTROLUX""","""""",None,ed
5036806,"""Refrigerador Electrolux 2 Portas 380 Litros Inox Frost Free 127v""","""Electrolux""","""""",None,ed
6432387,"""Geladeira/Refrigerador Samsung Frost Free 2 Portas RL4353JBASL/AZ 435 Litros Inox""","""Samsung""","""""",None,ed
6405475,"""Geladeira/Refrigerador 2 Portas Frost Free NR-BB53PV3WA 425 Litros Branco - Panasonic""","""Panasonic""","""""",None,ed
7760195,"""Geladeira Samsung French Door 3 Portas 441 Litros Inox 110V RF62HERS1/AZ""","""Samsung""","""""",None,ed
6129934,"""Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT40BD1 387 Litros Aço Escovado""","""Panasonic""","""""",None,ed
6575009,"""Refrigerador 1 Porta Consul Facilite Frost Free Branco 342L 110V CRB39ABANA""","""Consul""","""""",None,ed
6964629,"""Geladeira/Refrigerador Samsung Frost Free 2 Portas RT46K6361SL Twin Cooling Plus 453 Litros Inox""","""Samsung""","""""",None,ed
6784324,"""Refrigerador Expositor para Bebidas Metalfrio com Controlador Eletrônico 572 Litros VB52R 110V""","""Metalfrio""","""""",None,ed
6152549,"""Refrigerador Expositor para Bebidas Metalfrio com Controlador Eletrônico 572 Litros VB52R 220V""","""Metalfrio""","""""",None,ed
6397785,"""Geladeira/Refrigerador Electrolux 2 Portas Cycle Defrost DC44 362 Litros Branco""","""Electrolux""","""""",None,ed
6890232,"""Refrigerador 443L Side Inverse Brastemp BRE57 Frost Free""","""Brastemp""","""""",None,ed
6543564,"""Geladeira/Refrigerador Consul Frost Free 2 Portas CRM43NB 386 Litros Branco 220V""","""Consul""","""""",None,ed
6193954,"""Geladeira/Refrigerador Samsung Frost Free 2 Portas RL4353JBASL/AZ 435 Litros Inox 220V""","""Samsung""","""""",None,ed
6368807,"""Geladeira/Refrigerador Samsung 4 Portas RF56K9040SR/AZ 564 Litros Inox 110V""","""Samsung""","""""",None,ed
6603947,"""Refrigerador Geladeira 1 Porta Facilite 342L 220v Evox FF - Consul""","""Consul""","""""",None,ed
8583688,"""Frigobar Brastemp Retrô 76 Litros Preto 110V BRA08AEANA""","""Brastemp""","""""",None,ed
6712212,"""Geladeira/Refrigerador Panasonic Frost Free 2 Portas NR BT42BV1 387 Litros Tecnologia Inverter Aço Escovado""","""Panasonic""","""""",None,ed
6440076,"""Geladeira-Refrigerador Electrolux 323 Litros RFE39 Frost Free 1 Porta-110V""","""ELECTROLUX""","""""",None,ed
6188258,"""Geladeira/Refrigerador Electrolux Frost Free 2 Portas DF53 427 Litros Branco""","""Electrolux""","""""",None,ed
6042753,"""Refrigerador Esmaltec 110V 1 Porta - Branco""","""ESMALTEC""","""""",None,ed
6335296,"""Refrigerador Brastemp Duplex Frost Free Branco 500L BRM58AB - 127V""","""Brastemp""","""""",None,ed
6936969,"""Refrigerador Consul Duplex Bem Estar  Frost Free Evox Platinum 405L 220V CRM51AKBNA""","""Consul""","""""",None,ed
6160226,"""Refrigerador Consul 2 Portas 450 litros Branco Cycle Defrost 127v""","""Consul""","""""",None,ed
6714442,"""Refrigerador Expositor para Bebidas Metalfrio com Controlador Eletrônico 406 Litros VB40RE 110V - 110v 110v""","""Metalfrio""","""""",None,ed
6230168,"""Geladeira/Refrigerador Electrolux Frost Free 2 Portas DFN41 371 Litros Branco 110V""","""Electrolux""","""""",None,ed
6184028,"""Geladeira Refrigerador Electrolux 310 Litros Frost Free 2 Portas DFX39""","""ELECTROLUX""","""""",None,ed
8164110,"""Refrigerador Consul 1 Porta Degelo Manual Branco 239L 110V CRC28FBANA""","""Consul""","""""",None,ed
7683450,"""Refrigerador 262 Litros Electrolux 1 Porta RDE33""","""ELECTROLUX""","""""",None,ed
2190256,"""Frigobar Midea 93L Branco ""","""midea""","""MRC10B1""",None,ed
130151,"""Geladeira/Refrigerador Consul Frost Free""","""consul""","""Freezer Duplex 275L CRM35NBANA""",None,ed
130105,"""Geladeira/Refrigerador Consul Cycle Defrost Evox""","""consul""","""Duplex 450L CRD49AKANA""",None,ed
2165061,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""Duplex 384L Twin Cooling Plus RT5000K""",None,ed
842673,"""Geladeira/Refrigerador Panasonic Frost Free Duplex""","""panasonic""","""435L regeneration NR-BT47BD2WA Branco""",None,ed
2124675,"""Geladeira/Refrigerador Samsung Frost Free Inox""","""samsung""","""Duplex 458L RT46H5351SL/AZ""",None,ed
130153,"""Geladeira/Refrigerador Consul Frost Free Evox""","""consul""","""Duplex 275L CRM35NKANA""",None,ed
130406,"""Geladeira/Refrigerador Panasonic Frost Free Duplex""","""panasonic""","""387L re generation NR-BT42BV1WA Branco""",None,ed
130209,"""Geladeira/Refrigerador Consul Cycle Defrost Duplex""","""consul""","""415L CRD46ABANA""",None,ed
130215,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Inverse 422L Ative! BRE50NKANA""",None,ed
130005,"""Geladeira/Refrigerador Panasonic Frost Free Inox""","""panasonic""","""Duplex 387L re generation NR-BT40BD1X""",None,ed
130007,"""Geladeira/Refrigerador Consul Frost Free Evox""","""consul""","""Duplex 340L CRM38NKANA""",None,ed
130211,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Duplex 429L Ative! BRM50NKANA""",None,ed
130185,"""Geladeira/Refrigerador Esmaltec Cycle Defrost""","""esmaltec""","""Duplex 276L RCD34 Branco""",None,ed
130725,"""Geladeira/Refrigerador Consul Frost Free Duplex ""","""consul""","""340L CRM38NB Branco""",None,ed
867994,"""Geladeira/Refrigerador Brastemp Frost Free Evox""","""brastemp""","""Duplex 378L Clean BRM42EKANA""",None,ed
888064,"""Geladeira/Refrigerador Electrolux Frost Free""","""electrolux""","""Duplex 261L DF35A11006 Branco""",None,ed
888795,"""Geladeira/Refrigerador Consul Frost Free Duplex""","""consul""","""405L Painel Digital Touch CRM51ABANA Branco""",None,ed
842602,"""Chopeira BenMax com Função Frigobar""","""benmax""","""BMDB""",None,ed
2010947,"""Frigobar Philco 70L Branco""","""philco""","""PH85""",None,ed
2010880,"""Geladeira/Refrigerador Electrolux Cycle Defrost""","""electrolux""","""Duplex 475L DC51 Branco""",None,ed
2131467,"""Geladeira/Refrigerador Samsung Frost Free Inox ""","""samsung""","""Duplex 384L Twin Cooling Plus RT5000K""",None,ed
2128760,"""Geladeira/Refrigerador Panasonic Frost Free Duplex""","""panasonic""","""435L re Generation NR-BT49PV2WA Branco""",None,ed
100600,"""Geladeira/Refrigerador Electrolux Frost Free Inox""","""electrolux""","""Duplex 261L DF35X""",None,ed
9149059,"""Geladeira/Refrigerador Brastemp Frost Free Duplex""","""brastemp""","""429L Ative! BRM50NBANA Branco""",None,ed
9149059,"""Geladeira/Refrigerador Brastemp Frost Free Duplex""","""brastemp""","""429L Ative! BRM50NBANA Branco""",None,ed
2181800,"""Geladeira/Refrigerador Brastemp Frost Free Inverse""","""brastemp""","""460L BRE59AE Preto""",None,ed
